index	sentence	Disease	Mutation	prediction
0	Four additional K-Ras mutations (Leu19Phe (1 out of 106 tumours), Lys117Asn (1 out of 106), Ala146Thr (7 out of 106) and Arg164Gln (1 out of 106)) were identified	tumours	Leu19Phe	1.0
1	Four additional K-Ras mutations (Leu19Phe (1 out of 106 tumours), Lys117Asn (1 out of 106), Ala146Thr (7 out of 106) and Arg164Gln (1 out of 106)) were identified	tumours	Lys117Asn	1.0
2	Four additional K-Ras mutations (Leu19Phe (1 out of 106 tumours), Lys117Asn (1 out of 106), Ala146Thr (7 out of 106) and Arg164Gln (1 out of 106)) were identified	tumours	Ala146Thr	1.0
3	Four additional K-Ras mutations (Leu19Phe (1 out of 106 tumours), Lys117Asn (1 out of 106), Ala146Thr (7 out of 106) and Arg164Gln (1 out of 106)) were identified	tumours	Arg164Gln	1.0
4	The most common B-Raf mutation is a T to A transversion, resulting in a valine to glutamic acid substitution (V600E), present in approximately 90% of B-Raf mutant tumours (Davies et al, 2002), which results in a 500-fold increase in in vitro kinase activity and the induction of cell proliferation and transformation (Wan et al, 2004)	tumours	T to A	0.0
5	The most common B-Raf mutation is a T to A transversion, resulting in a valine to glutamic acid substitution (V600E), present in approximately 90% of B-Raf mutant tumours (Davies et al, 2002), which results in a 500-fold increase in in vitro kinase activity and the induction of cell proliferation and transformation (Wan et al, 2004)	tumours	valine to glutamic acid	1.0
6	The most common B-Raf mutation is a T to A transversion, resulting in a valine to glutamic acid substitution (V600E), present in approximately 90% of B-Raf mutant tumours (Davies et al, 2002), which results in a 500-fold increase in in vitro kinase activity and the induction of cell proliferation and transformation (Wan et al, 2004)	tumours	V600E	0.0
7	Meanwhile, 1 mul chromosome 12p BAC RP11-707G18 (Red) (BlueGnome), 1 mul chromosome 12q BAC RP11-89H19 (Green) (BlueGnome) and 9 mul LSI-WCP hybridisation buffer (Vysis) was mixed together for each slide and pipetted onto a 22 x 22 mm coverslip which was placed onto a region of the slide containing tumour tissue and placed onto a heat block at 75 C for 5 min to co-denature the probes and tumour tissue	tumour	C for 5	1.0
8	Meanwhile, 1 mul chromosome 12p BAC RP11-707G18 (Red) (BlueGnome), 1 mul chromosome 12q BAC RP11-89H19 (Green) (BlueGnome) and 9 mul LSI-WCP hybridisation buffer (Vysis) was mixed together for each slide and pipetted onto a 22 x 22 mm coverslip which was placed onto a region of the slide containing tumour tissue and placed onto a heat block at 75 C for 5 min to co-denature the probes and tumour tissue	tumour	C for 5	1.0
9	Mutations at codon 19 (G57T, Leu19Phe) and in B-Raf (V600E) were found in single tumours (Table 2).	tumours	G57T	1.0
10	Mutations at codon 19 (G57T, Leu19Phe) and in B-Raf (V600E) were found in single tumours (Table 2).	tumours	Leu19Phe	1.0
11	Mutations at codon 19 (G57T, Leu19Phe) and in B-Raf (V600E) were found in single tumours (Table 2).	tumours	V600E	1.0
12	Mutation analysis in Costello syndrome: functional and structural characterization of the HRAS p.Lys117Arg mutation	Costello syndrome	p.Lys117Arg	1.0
13	Following a pilot study in Italy and Spain, analysis of carriers (n = 11,609) collected through 24 study groups participating in the Consortium of Investigators of Modifiers of BRCA1/2 (CIMBA) detected significant modification of breast cancer risk by HMMR rs299290 variant among BRCA1, but not BRCA2, mutation carriers: BRCA1 mutation carriers n = 7,584, Cox proportional-hazards regression model, hazard ratio (HR) = 1.08 (95% confidence interval (CI) 1.02-1.13), ptrend = 0.004 (p 2df = 0.014), in the same direction as originally detected in Ashkenazi Jewish populations; BRCA2 mutation carriers n = 3,965, HR = 1.03 (95% CI 0.96-1.10), ptrend = 0.42 (p 2df = 0.67)	breast cancer	rs299290	
14	Effect of HMMR rs299290 variation on breast cancer risk among BRCA1 and BRCA2 mutation carriers.	breast cancer	rs299290	
